Identifiant du lieu;Année du tournage;Type de tournage;Titre;Réalisateur;Producteur;Localisation de la scène;Code postal;Date de début;Date de fin;Coordonnée en X;Coordonnée en Y;geo_shape;geo_point_2d
2019-1044;2019;Série TV;Emily in Paris;Darren Star;NW2020;46 boulevard de la bastille, 75012 paris;75012;2019-08-21;2019-08-21;2.36919734;48.85103716;"{""coordinates"": [2.3691973414950867, 48.8510371553189], ""type"": ""Point""}";48.8510371553189, 2.3691973414950867
2019-1287;2019;Long métrage;CINQUIEME SET;Quentin Reynaud;22H22;6 place rodin, 75016 paris;75016;2019-10-08;2019-10-09;2.27066721;48.85325715;"{""coordinates"": [2.27066720635886, 48.853257147356054], ""type"": ""Point""}";48.853257147356054, 2.27066720635886
2018-1387;2018;Long métrage;FORTE;;QUAD FILMS;11 rue de berri, 75008 paris;75008;2018-11-16;2018-11-16;2.30396201;48.87241268;"{""coordinates"": [2.303962010891385, 48.872412683989474], ""type"": ""Point""}";48.872412683989474, 2.303962010891385
2019-1418;2019;Série TV;Emily in Paris;Darren Star;NW2020;112 rue amelot, 75011 paris;75011;2019-10-18;2019-10-18;2.36720164;48.86338705;"{""coordinates"": [2.3672016409040992, 48.86338704886955], ""type"": ""Point""}";48.86338704886955, 2.3672016409040992
2019-1421;2019;Long métrage;Une sirène à Paris;Mathias Malzieu;OVERDRIVE PRODUCTIONS;rue du fauconnier, 75004 paris;75004;2019-10-24;2019-10-24;2.35945555;48.85346592;"{""coordinates"": [2.3594555514098707, 48.853465916076146], ""type"": ""Point""}";48.853465916076146, 2.3594555514098707
2019-1359;2019;Long métrage;De l'or pour les chiens;Anna Cazanave-Cambet;CG Cinema;pont neuf, 75001 paris;75001;2019-10-17;2019-10-18;2.34248745;48.85849331;"{""coordinates"": [2.342487451056846, 48.85849330754624], ""type"": ""Point""}";48.85849330754624, 2.342487451056846
2018-1437;2018;Long métrage;L'angle Mort;Pierre TRIVIDIC Patrick MARIO BERNARD;EX NIHILO;8 rue compans, 75019 paris;75019;2018-11-21;2018-11-22;2.39511961;48.8758262;"{""coordinates"": [2.3951196135455346, 48.87582619507191], ""type"": ""Point""}";48.87582619507191, 2.3951196135455346
2018-1438;2018;Long métrage;L'angle Mort;Pierre TRIVIDIC Patrick MARIO BERNARD;EX NIHILO;2 rue augustin thierry, 75019 paris;75019;2018-11-21;2018-11-22;2.39458216;48.87620524;"{""coordinates"": [2.3945821615794656, 48.87620523540191], ""type"": ""Point""}";48.87620523540191, 2.3945821615794656
2018-1464;2018;Long métrage;FORTE;Katia LEWKOWICZ;QUAD FILMS;12 rue frochot, 75009 paris;75009;2018-11-27;2018-11-27;2.3374538;48.88164094;"{""coordinates"": [2.3374537971107725, 48.88164093933714], ""type"": ""Point""}";48.88164093933714, 2.3374537971107725
2019-1096;2019;Série TV;VAMPIRES;VLADIMIR DE FONTENAY/MARIE MONGE;TETRA MEDIA FICTION;16 rue alfred de vigny, 75008 paris;75008;2019-09-02;2019-09-02;2.30518781;48.87936618;"{""coordinates"": [2.305187806410798, 48.87936618212867], ""type"": ""Point""}";48.87936618212867, 2.305187806410798
2019-1106;2019;Long métrage;Seize Printemps;Suzanne Lindon;Avenue B Productions;1 place charles dullin, 75018 paris;75018;2019-09-18;2019-09-19;2.34247348;48.88337997;"{""coordinates"": [2.3424734760864694, 48.8833799681319], ""type"": ""Point""}";48.8833799681319, 2.3424734760864694
2019-1119;2019;Long métrage;Seize Printemps;Suzanne Lindon;Avenue B Productions;48 rue d'orsel, 75018 paris;75018;2019-09-23;2019-09-25;2.34212026;48.88356187;"{""coordinates"": [2.3421202606450184, 48.88356186886989], ""type"": ""Point""}";48.88356186886989, 2.3421202606450184
2019-1380;2019;Série Web;SKAM SAISON 5 ET 6 SEMAINE 2 SUR 9;;GETEVE PRODUCTIONS;place de varsovie, 75116 paris;75116;2019-10-19;2019-10-19;2.29099199;48.86033042;"{""coordinates"": [2.2909919858590033, 48.86033042033892], ""type"": ""Point""}";48.86033042033892, 2.2909919858590033
2019-1402;2019;Série TV;VAMPIRES;VLADIMIR DE FONTENAY/MARIE MONGE;TETRA MEDIA FICTION;2 boulevard de belleville, 75020 paris;75020;2019-10-14;2019-10-14;2.38336768;48.86727047;"{""coordinates"": [2.3833676760057907, 48.86727046786658], ""type"": ""Point""}";48.86727046786658, 2.3833676760057907
2018-766;2018;Série TV;Osmosis;Julius Berg;CAPA SERIES;port d'austerlitz, 75013 paris;75013;2018-07-04;2018-07-06;2.36743788;48.84279831;"{""coordinates"": [2.3674378763914934, 48.842798312597175], ""type"": ""Point""}";48.842798312597175, 2.3674378763914934
